"filename", "language", "JavaScript", "JSON", "SQL", "Prisma", "comment", "blank", "total"
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\verifyJWT.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\verifyRole.js", "JavaScript", 80, 0, 0, 0, 2, 4, 86
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\nodemon.json", "JSON", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\package-lock.json", "JSON", 0, 4284, 0, 0, 0, 1, 4285
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\package.json", "JSON", 0, 41, 0, 0, 0, 1, 42
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prismaClient.js", "JavaScript", 5, 0, 0, 0, 1, 2, 8
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230925132324_new\migration.sql", "SQL", 0, 0, 179, 0, 44, 59, 282
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230926080343_address_active\migration.sql", "SQL", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230926100117_address_unique\migration.sql", "SQL", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230926120919_rate_float\migration.sql", "SQL", 0, 0, 1, 0, 1, 1, 3
